target,kd_diff,kd_ratio,kd_dominance,str_diff,str_ratio,str_dominance,td_diff,td_ratio,td_dominance,sub_diff,sub_ratio,sub_dominance,striking_volume_advantage,striking_dominance,knockdown_power,submission_threat,streak_diff,win_rate_diff,exp_diff
1.0,2,20.0,1,13,130.0,1,0,0.0,0,0,0.0,0,19.5,2,4,0.0,0,0.0,0
0.0,0,0.0,0,10,1.1703958691910499,1,0,0.0,0,0,0.0,0,15.0,2,0,0.0,0,0.0,0
1.0,1,10.0,1,-5,0.28169014084507044,0,-1,0.0,0,2,20.0,1,-7.5,0,2,3.6,0,0.0,0
0.0,0,0.0,0,-24,0.3504043126684636,0,-11,0.08264462809917356,0,1,10.0,1,-36.0,0,0,1.8,0,0.0,0
1.0,1,10.0,1,-5,0.6106870229007634,0,-2,0.0,0,1,10.0,1,-7.5,0,2,1.8,0,0.0,0
0.0,-1,0.0,0,-7,0.778816199376947,0,0,0.0,0,0,0.0,0,-10.5,0,-2,0.0,0,-0.5,1
0.0,0,0.0,0,-9,0.6872852233676976,0,2,20.0,1,0,0.0,0,-13.5,0,0,0.0,0,0.0,0
1.0,0,0.0,0,6,1.2796208530805686,1,2,20.0,1,2,20.0,1,9.0,2,0,3.6,0,0.0,0
1.0,0,0.0,0,14,1.6289592760180995,1,2,20.0,1,1,10.0,1,21.0,2,0,1.8,0,0.5,1
0.0,-1,0.0,0,-20,0.12987012987012986,0,0,0.0,0,0,0.0,0,-30.0,0,-2,0.0,0,0.5,-1
0.0,0,0.0,0,-17,0.8403361344537815,0,-1,0.0,0,0,0.0,0,-25.5,0,0,0.0,0,0.0,0
0.0,-1,0.0,0,3,1.1695906432748537,1,0,0.0,0,0,0.0,0,4.5,2,-2,0.0,0,0.5,1
0.0,0,0.0,0,18,1.3370998116760828,1,0,0.0,0,0,0.0,0,27.0,2,0,0.0,0,-0.5,-1
1.0,0,0.0,0,-5,0.8360128617363344,0,-2,0.3225806451612903,0,1,1.8181818181818181,1,-7.5,0,0,1.8,0,-0.5,1
0.0,0,0.0,0,-1,0.9621993127147765,0,-2,0.0,0,-2,0.0,0,-1.5,0,0,-3.6,0,-0.5,1
0.0,0,0.0,0,-55,0.39517014270032935,0,-9,0.0,0,-1,0.0,0,-82.5,0,0,-1.8,0,0.0,0
1.0,0,0.0,0,-15,0.5698005698005698,0,2,2.727272727272727,1,1,10.0,1,-22.5,0,0,1.8,0,0.0,0
1.0,0,0.0,0,8,1.123244929797192,1,3,30.0,1,-1,0.0,0,12.0,2,0,-1.8,0,-0.5,-1
1.0,0,0.0,0,-19,0.7701564380264742,0,2,2.727272727272727,1,0,0.0,0,-28.5,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-12,0.8727655099894848,0,5,50.0,1,-2,0.0,0,-18.0,0,0,-3.6,0,-0.5,-1
0.0,-1,0.0,0,-17,0.2904564315352697,0,1,10.0,1,0,0.0,0,-25.5,0,-2,0.0,0,0.5,1
1.0,1,10.0,1,25,2.3036649214659684,1,6,60.0,1,0,0.0,0,37.5,2,2,0.0,0,0.5,-1
1.0,0,0.0,0,37,370.0,1,-1,0.0,0,-1,0.0,0,55.5,2,0,-1.8,0,0.0,0
1.0,1,10.0,1,8,1.43646408839779,1,0,0.0,0,0,0.0,0,12.0,2,2,0.0,0,0.0,0
1.0,0,0.9090909090909091,0,0,0.9803921568627452,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.5,1
1.0,0,0.0,0,-2,0.9656301145662848,0,0,0.0,0,0,0.0,0,-3.0,0,0,0.0,0,0.0,0
0.0,0,0.0,0,5,1.1877394636015326,1,3,30.0,1,0,0.0,0,7.5,2,0,0.0,0,-0.5,1
1.0,1,10.0,1,4,2.258064516129032,1,4,40.0,1,1,10.0,1,6.0,2,2,1.8,0,0.0,0
0.0,0,0.0,0,22,1.237785016286645,1,2,20.0,1,0,0.0,0,33.0,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-4,0.9664209664209664,0,0,0.0,0,0,0.0,0,-6.0,0,0,0.0,0,0.0,0
